properti 1:0.1000 2:0.1000 3:0.1000 4:0.1000 5:0.1000 6:0.1000 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0833 2:0.0833 3:0.0833 4:0.0833 5:0.0833 6:0.0833 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0909 2:0.0909 3:0.0909 4:0.0909 5:0.0909 6:0.0909 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1250 2:0.1250 3:0.1250 4:0.1250 5:0.1250 6:0.1250 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1250 2:0.1111 3:0.1111 4:0.1250 5:0.1111 6:0.1111 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1429 2:0.1429 3:0.1429 4:0.1429 5:0.1429 6:0.1429 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1111 2:0.1111 3:0.1111 4:0.1111 5:0.1111 6:0.1111 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1250 2:0.1250 3:0.1250 4:0.1250 5:0.1250 6:0.1250 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0769 2:0.0769 3:0.0769 4:0.0769 5:0.0769 6:0.0769 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0909 2:0.0909 3:0.0909 4:0.0909 5:0.0909 6:0.0909 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0833 2:0.0833 3:0.0833 4:0.0833 5:0.0833 6:0.0833 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1250 2:0.1250 3:0.1250 4:0.1250 5:0.1250 6:0.1250 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0833 2:0.0833 3:0.0833 4:0.0833 5:0.0833 6:0.0833 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1250 2:0.1250 3:0.1250 4:0.1250 5:0.1250 6:0.1250 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0769 2:0.0769 3:0.0769 4:0.0769 5:0.0769 6:0.0769 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1250 2:0.1250 3:0.1250 4:0.1250 5:0.1250 6:0.1250 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0909 2:0.0909 3:0.0909 4:0.0909 5:0.0909 6:0.0909 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1000 2:0.1000 3:0.1000 4:0.1000 5:0.1000 6:0.1000 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1000 2:0.1000 3:0.1000 4:0.1000 5:0.1000 6:0.1000 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1250 2:0.1250 3:0.1250 4:0.1250 5:0.1250 6:0.1250 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1429 2:0.1429 3:0.1429 4:0.1429 5:0.1429 6:0.1429 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0833 2:0.0833 3:0.0833 4:0.0833 5:0.0833 6:0.0833 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0909 2:0.0909 3:0.0909 4:0.0909 5:0.0909 6:0.0909 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1250 2:0.1250 3:0.1250 4:0.1250 5:0.1250 6:0.1250 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0909 2:0.0909 3:0.0909 4:0.0909 5:0.0909 6:0.0909 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1000 2:0.1000 3:0.1000 4:0.1000 5:0.1000 6:0.1000 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0714 2:0.0714 3:0.0714 4:0.0714 5:0.0714 6:0.0714 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0909 2:0.0909 3:0.0909 4:0.0909 5:0.0909 6:0.0909 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0909 2:0.0909 3:0.0909 4:0.0909 5:0.0909 6:0.0909 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1000 2:0.0909 3:0.0909 4:0.1000 5:0.0909 6:0.0909 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0833 2:0.0833 3:0.0833 4:0.0833 5:0.0833 6:0.0833 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1111 2:0.1111 3:0.1111 4:0.1111 5:0.1111 6:0.1111 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1000 2:0.1000 3:0.1000 4:0.1000 5:0.1000 6:0.1000 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0909 2:0.0833 3:0.0833 4:0.0909 5:0.0833 6:0.0833 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1000 2:0.0909 3:0.0909 4:0.1000 5:0.0909 6:0.0909 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0909 2:0.0909 3:0.0909 4:0.0909 5:0.0909 6:0.0909 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1111 2:0.1111 3:0.1111 4:0.1111 5:0.1111 6:0.1111 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0714 2:0.0714 3:0.0714 4:0.0714 5:0.0714 6:0.0714 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0909 2:0.0909 3:0.0909 4:0.0909 5:0.0909 6:0.0909 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1111 2:0.1111 3:0.1111 4:0.1111 5:0.1111 6:0.1111 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1111 2:0.1111 3:0.1111 4:0.1111 5:0.1111 6:0.1111 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0909 2:0.0909 3:0.0909 4:0.0909 5:0.0909 6:0.0909 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0833 2:0.0833 3:0.0833 4:0.0833 5:0.0833 6:0.0833 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1000 2:0.1000 3:0.1000 4:0.1000 5:0.1000 6:0.1000 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1111 2:0.1111 3:0.1111 4:0.1111 5:0.1111 6:0.1111 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0833 2:0.0833 3:0.0833 4:0.0833 5:0.0833 6:0.0833 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0714 2:0.0714 3:0.0714 4:0.0714 5:0.0714 6:0.0714 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0909 2:0.0909 3:0.0909 4:0.0909 5:0.0909 6:0.0909 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0769 2:0.0769 3:0.0769 4:0.0769 5:0.0769 6:0.0769 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1000 2:0.1000 3:0.1000 4:0.1000 5:0.1000 6:0.1000 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.1111 2:0.1111 3:0.1111 4:0.1111 5:0.1111 6:0.1111 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0833 2:0.0833 3:0.0833 4:0.0833 5:0.0833 6:0.0833 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0909 2:0.0909 3:0.0909 4:0.0909 5:0.0909 6:0.0909 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
properti 1:0.0769 2:0.0769 3:0.0769 4:0.0769 5:0.0769 6:0.0769 7:0.1000 8:0.1000 9:0.1000 10:0.1000 11:0.1000 12:0.1000 13:0.1000 14:0.1000 15:0.1000 16:0.1000 17:0.1000 18:0.1000 19:0.1000 20:0.1000 21:0.1000 22:0.1000 23:0.1000 24:0.1000 25:0.1000 26:0.1000 27:0.1000 28:0.1000 29:0.1000 30:0.1000 31:0.1000 32:0.1000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 
